#	DMR_Hosts.txt
#
#	Written for Pi-Star Digital Voice Node by Andy Taylor (MW0MWZ)
#	Origional idea from Adrian Craig (M0GLJ)
#
#	Updated 19-07-2024 DMR446.ddnss.de
#
#	The format of this file is the name of the reflector followed by its
#	IP address / Hotname / Password. NO SPACES!!
#
#	Downloaded from https://raw.githubusercontent.com/cb0obf/dmr446.ddnss.de/main/DMR_Hosts.txt
#
######################################################################################################
#
#				DMRGateway / Internal Hosts Below
#
######################################################################################################
# Name				DMR-ID	IP/Hostname				Password	Port #
######################################################################################################

######################################################################################################
#
#				BrandMeister Hosts Below
#
######################################################################################################
# Country			DMR-ID	IP/Hostname				Password	Port #
######################################################################################################

######################################################################################################
#
# FreeDMR Network Germany, France, Ireland, HUngary - UK  DE/F/IE/UK/HU Hosts Below for licenced free
#
######################################################################################################
# Country			DMR-ID	IP/Hostname				Password	Port #
######################################################################################################
FreeDMR_Bayern		            	0000	  dmr446.ddnss.de				                  passw0rd	      62031
FreeDMR_Bremen		            	0000	  dchb.ddns.net/jockel				            passw0rd	      62031
FreeDMR_Sachsen                 0000    freedmr.multhielemedia.de               passw0rd        62031
FreeDMR_Berlin                  0000    fdmr.dynbox.net                         passw0rd        62031
FreeDMR_NRW                     0000    dmr446-nrw.de                           passw0rd        62031
FreeDMR_ERSATZ                  0000    217.160.76.184                          passw0rd        62031
FreeDMR_Ireland			            0000	  omcicomputerservices.com               	passw0rd	      62031
FreeDMR_Ungarn			            0000	  freedmr.hu					                    passw0rd	      62031
FreeDMR_France			            0000	  f62dmr.fr			                  passw0rd	      55555

#	Custom DMR_Hosts.txt
#
#	Written for Pi-Star Digital Voice Node by Andy Taylor (MW0MWZ)
#
#	The format of this file is the name of the reflector followed by its
#	IP address / Hotname / Password. TAB delimited only NO SPACES!!
#
#	Please ensure BrandMeister Masters are prefixed with BM_
#	Please ensure Phoenix / DMR+ Masters are prefixed with DMR+_
#
#	Passwords / Ports ARE important too!
#
##############################################################################################
#
#				Custom DMR Hosts
#
##############################################################################################
# Name				DMR-ID	IP/Hostname			Password	Port #
##############################################################################################
#BM_Custom_01			1234	1.2.3.4				passw0rd	62031
#DMR+_Custom_01			1234	1.2.3.4				PASSWORD	55555
##############################################################################################
